,car,glass,plate,truck,Vehicles,Dinnerware,closer to vehicles,closer to dinnerware,,,,,
230,0.1539692196,0.1643349726,0.1965630805,0.1297128197,0.1418410196,0.1804490265,True,False,,,,,
231,0.1680278879,0.1296675656,0.1490323176,0.1078023642,0.137915126,0.1393499416,True,False,,,,,
232,0.1578890541,0.137200117,0.1071184572,0.1053300053,0.1316095297,0.1221592871,False,True,,,,,
233,0.0608025372,0.0839016395,0.1111395181,0.0738080542,0.0673052957,0.0975205788,True,False,,,,,
234,0.1178376613,0.1076535339,0.0925957394,0.1150602515,0.1164489564,0.1001246366,False,True,,,,,
235,0.133487495,0.1307009323,0.1335449994,0.1024345345,0.1179610147,0.1321229658,True,False,,,,,
236,0.2063128281,0.1477715506,0.1446339309,0.1281576077,0.1672352179,0.1462027407,False,True,,,,,
237,0.0972673006,0.1078672498,0.129730564,0.080176895,0.0887220978,0.1187989069,True,False,,,,,
238,0.138888296,0.1847836709,0.1638374241,0.1478612108,0.1433747534,0.1743105475,True,False,,,,,
239,0.1199585845,0.1022581438,0.1288918193,0.1009331996,0.110445892,0.1155749815,True,False,,,,,
240,0.0854416376,0.0939303642,0.0602371325,0.0616604055,0.0735510216,0.0770837483,True,False,,,,,
241,0.086998064,0.0796185495,0.0669038057,0.0865270219,0.086762543,0.0732611776,False,True,,,,,
242,0.1025946392,0.1027839577,0.110872056,0.0769269028,0.089760771,0.1068280068,True,False,,,,,
243,0.0587319743,0.0774485422,0.0958796162,0.0523514301,0.0555417022,0.0866640792,True,False,,,,,
244,0.0821251391,0.0591894908,0.0971274393,0.0826030448,0.0823640919,0.078158465,False,True,,,,,
245,0.0972486222,0.1276633522,0.1052352796,0.0739403706,0.0855944964,0.1164493159,True,False,,,,,
246,0.126146445,0.1693032898,0.1768887811,0.085913455,0.10602995,0.1730960355,True,False,,,,,
247,0.0848162195,0.0721721055,0.1013656091,0.0701686576,0.0774924385,0.0867688573,True,False,,,,,
248,0.0570632078,0.0401924085,0.0613077732,0.060668018,0.0588656129,0.0507500909,False,True,,,,,
249,0.0975051228,0.1277101979,0.1406778003,0.1239341485,0.1107196356,0.1341939991,True,False,,,,,
250,0.1002103055,0.0869795949,0.1256028775,0.0610631151,0.0806367103,0.1062912362,True,False,,,,,
251,0.1132532135,0.0935834654,0.1411103042,0.0823121165,0.097782665,0.1173468848,True,False,,,,,
252,0.0591754071,0.0616868205,0.0759591901,0.0556242148,0.057399811,0.0688230053,True,False,,,,,
253,0.1019682115,0.1406909496,0.1280574748,0.0955798793,0.0987740454,0.1343742122,True,False,,,,,
254,0.1928462402,0.1805768127,0.2132803982,0.1795269887,0.1861866145,0.1969286054,True,False,,,,,
255,0.1125053501,0.1639163139,0.2134650583,0.1475462282,0.1300257891,0.1886906861,True,False,,,,,
256,0.1128487354,0.1366830659,0.1137763895,0.0913364837,0.1020926096,0.1252297277,True,False,,,,,
257,0.1071586756,0.1362611247,0.1315662427,0.0964032699,0.1017809727,0.1339136837,True,False,,,,,
258,0.1544245932,0.1916550536,0.1740953553,0.1390705562,0.1467475747,0.1828752045,True,False,,,,,
259,0.1764684033,0.1324748016,0.1292878602,0.0867112117,0.1315898075,0.1308813309,False,True,,,,,
260,0.0639806403,0.0776607547,0.0916717477,0.0676089853,0.0657948128,0.0846662512,True,False,,,,,
